,타이틀,링크,회사명,태그,설명,태그1,태그2,태그3,태그4,태그5,태그6,태그7
0,2023년 제4차 정규직 공개채용 안내,/Recruit/GI_Read/42969261?rPageCode=PL&logpath=21,한국기초과학지원연구원,"['신입·경력', '학력무관', '대전유성구외', '정규직']","임원비서, 전산입력, 연구소, 회로설계, 나노, 연구·실험·기술, 행정, 펌웨어, 재료, 송무담당, 경영·경제연구, 문서작성, 신사업기획, 의료기기연구, 시스템분석, 임베디드, 전기·전자, 데이터분석, 인공지능, 화학·섬유, 사업기획, 원자력, 기계조작, 경영기획, 문서작성, 생명공학, 수행비서, 연구원, 전기설계, R&D, 송무비서, 생명공학, 언론홍보, 전기설비, 제품개발, 데이터분석, 전략기획, 물리, 기업홍보, 분석모델링, 전기배선, 서무, 연구기획, 문서관리, 생명공학, 시스템설계, 제약·바이오R&D, 경영기획, 경영컨설팅, 기술지원, 조사분석, 경영기획, 생산기술, 기계조작",신입·경력,학력무관,대전유성구외,정규직,,,
1,[롯데백화점]개인정보 보호 담당 경력 채용,/Recruit/GI_Read/42967623?rPageCode=PL&logpath=21,롯데쇼핑,"['경력4년↑', '학력무관', '서울중구', '정규직']","시스템분석, 시스템운영, 방화벽, 시스템분석, 정보보안, 보안관제, 시스템설계, 네트워크관리, 정보보안, 시스템설계, 서버관리, 네트워크관리",경력4년↑,학력무관,서울중구,정규직,,,
2,2023년 9월 KT 경력사원 채용(IT분야),/Recruit/GI_Read/42968571?rPageCode=PL&logpath=21,㈜케이티,"['경력5년↑', '대졸↑', '서울종로구외', '정규직']","네트워크관리, 메카트로닉스, GUI, 빅데이터, 데이터관리, SI개발, 펌웨어, 연구·실험·기술, 인터페이스, 데이터분석, SI개발, PL, 모바일, 딥러닝, 데이터시각화, 서버구축, 시스템분석, 시스템운영, 전기·전자, 제안·컨설팅, PM, 서버관리, 인공지능, 네트웍구축, 시스템운영, 정보통신·IT, 무선통신, 시스템분석, 정보보안, 로봇설계, 앱기획, SI개발, UI·UX기획, 네트워크관리, R&D, 자연어처리(NLP), 클라이언트, 콘텐츠기획, SI개발, 보안관제, 시스템설계, 제품개발, 데이터분석, 인터페이스, 솔루션스아키텍트, 클라우드개발자, 네트워크관리, 자동차, 정보보안, 텔레콤, 통신, 데이터마이닝, 로봇설계, 아키텍처, 서버구축, 시스템설계, 제품개발, 반응형웹, PO, 서비스기획, 서버관리, 클라우드아키텍트, 클라이언트, 핀테크, 네트워크관리, 로봇설계, AI, HTTP, 데이터파이프라인, 모델링, 무선통신",경력5년↑,대졸↑,서울종로구외,정규직,,,
3,23년 하반기 GS EPS 신입/경력 수시채용,/Recruit/GI_Read/42955283?rPageCode=PL&logpath=21,지에스이피에스,"['신입·경력', '초대졸↑', '서울강남구외', '정규직외']","전기설비, ERP운용, 복리후생, 안전평가, 급여관리, 에너지, 전자통신, 복리후생, 행정, MS, 전기제어, 자료조사, 건설안전, 비품관리, 영업기획, 인사교육, LNG, PL, 경력관리, 문서작성, 시스템설계, 신사업기획, 산업안전, 산업안전, 서버구축, 시스템분석, 시스템운영, 에너지, 전기·전자, PM, 기계조작, 영업전략, 건설안전, 기계, 기계설비, 설비, 시스템운영, 터미널, AWS, 사업기획, 시스템분석, 전기기사, 전기점검, 기계조작, 기업회계, 발전소, 경영기획, 전기설계, 통계·분석, 조직문화, 건설안전, 매출관리, 산업안전, 시스템분석, 시스템설계, 전기설비, 면접·채용, 평가·보상, 발전설비, 전략기획, 교육기획, 전표입력, 데이터분석, 클라우드개발자, 직도입, 급여관리, 전기배선, 안전평가, 인사행정, 컨테이너, 플랫폼, 서버구축, 시스템설계, 인사기획, 전기설비, 엔지니어링, 경영기획, 경영컨설팅, 자산관리, 전기, 클라우드아키텍트, 클라우드, 경영기획, 문서관리, 기계조작, 복리후생, 서무, 인사교육, 쿠버네티스",신입·경력,초대졸↑,서울강남구외,정규직외,,,
4,2023년 하반기 CJ대한통운 신입사원 모집,/Recruit/GI_Read/42957251?rPageCode=PL&logpath=21,씨제이대한통운㈜,"['신입', '대졸↑', '서울', '정규직']","고객관리, 관리회계, 네트워크관리, 부가세신고, 창고관리, 택배, 항공무역, SI개발, 수출입계약, 재무회계, 통관대리인, 해상무역, SI개발, 비품관리, 관세사무, 세무신고, 물류센터, 수출입관리, 자금관리, 산업안전, 산업안전, 서버구축, 수출입계약, 시스템운영, 통관, 세무조정, 재무분석, 납품, 시스템운영, 재무회계, 포워딩, 바이어개발, 시스템분석, 재고관리, 국제무역, 기업회계, 결산, 네트워크관리, 재무기획, 결산, 무역중개인, 산업안전, 시스템설계, 거래처관리, 입출금관리, 세무기장, 네트워크관리, 매입·매각, 부동산컨설팅, 서버구축, 외환관리, 자산관리, 바이어개발, 법인결산, 서비스기획, 오더관리, 자산관리, 회계감사, 네트워크관리, 부동산개발, 보세사, 연말정산, 원가회계, 택배",신입,대졸↑,서울,정규직,,,
5,㈜쎄트렉아이 2023년 하반기 대규모 채용,/Recruit/GI_Read/42939178?rPageCode=PL&logpath=21,㈜쎄트렉아이,"['신입·경력', '대졸↑', '대전유성구외', '정규직']","메카트로닉스, 회로, GUI, 빅데이터, OLAP개발자, 데이터관리, 연구개발, 항공무역, 웹표준·웹접근성, 기구설계, 메카트로닉스, 솔루션영업, 펌웨어, 회로설계, 제어·설계, 연구·실험·기술, 인터페이스, 캐드원, 검증, 임베디드, GUI, RF, 설계, 신호처리, 음성인식, 회로설계, C#, 안테나, 인사교육, DBMS, 제작조립, 경력관리, 시스템설계, 웹마스터, 회로설계, 딥러닝, 데이터시각화, 서버구축, 시스템분석, 시스템운영, 전기·전자, 서버관리, 열구조, 인공지능, 챗봇, 3D설계, 정보통신·IT, BI, 모델링, 시스템분석, 펌웨어, 반응형웹, 네트워크관리, 메카트로닉스, 웹마스터, 전기설계, R&D, 자연어처리(NLP), 개발자, 클라이언트, SI개발, 시스템분석, 시스템설계, 증강현실, 하드웨어영업, 데이터분석, 인터페이스, 펌웨어, 클라우드개발자, 조선·항공·우주, 메타버스, 네트워크관리, 항공, 항공운송, 데이터마이닝, 무인항공기·드론, 인사행정, 챗봇, 시스템설계, 위성통신, 인사기획, 제품개발, 항공기계, 반응형웹, 프레임워크, 기술지원, Java, 서버관리, ㈜쎄트렉아이, 검증, 네트워크관리, 가상현실, 기계조작, 로봇설계, 복리후생, 인사교육, 모델링, 회로설계, DB튜닝, 스마트컨트랙트",신입·경력,대졸↑,대전유성구외,정규직,,,
6,원익그룹 공채 신입사원 모집,/Recruit/GI_Read/42941013?rPageCode=PL&logpath=21,㈜원익홀딩스,"['신입', '대졸↑', '경기평택시외', '정규직']","관리회계, 문서작성, 생산기술, 신소재, 급여관리, 기구설계, 에너지, 회로설계, CAM, 제어·설계, 행정, 부가세신고, 시장조사, 정보통신, 신소재, 반도체장비, 품질보증, 세무신고, 데이터시각화, 신사업기획, 수출입계약, 시스템분석, 전기·전자, 중국어, 신소재, 3D설계, 반도체, 설비, 재무회계, 구매계약, 제조·공정, 바이어개발, 방화벽, 사업기획, 시스템분석, 영어, 정보보안, PCB, 기계조작, R&D, SI개발, 보안관제, 생명공학, 제품개발, 데이터분석, 제어·설계, 면접·채용, 전략기획, 콘텐츠기획, 디스플레이, 자재구매, 전표입력, 브랜드기획, 세무기장, 전략기획, 4대보험, 네트워크관리, 정보보안, 반도체·LCD, 인사행정, 공증, 시스템설계, 외자구매, 인사기획, 전표입력, 제품개발, 결산, 자산관리, 회계감사, 회로, PLC, 서버관리, 경영기획, 네트워크관리, 문서관리, 생산기술, 일본어, 공정개발, 기계조작, 인사교육, 국내영업, 시장분석, 원가회계, 자동제어, 회로설계, 데이터분석",신입,대졸↑,경기평택시외,정규직,,,
7,2023년 하반기 직원 공개채용  공고,/Recruit/GI_Read/42942043?rPageCode=PL&logpath=21,정보통신기획평가원,"['신입·경력', '학력무관', '대전유성구외', '정규직외']","전산입력, 전산입력, 사이트관리, 회로설계, 행정, 자료조사, 자료조사, ICT, 문서관리, 문서작성, 청소·미화, 시설점검, 시스템분석, 공공기관, 정보통신·IT, 사이트관리, 사업기획, 정보보안, 네트워크관리, 문서작성, 문서작성, 통계·분석, 전략기획, 청소, 공기업, 네트워크관리, 정보통신, 연구기획, 문서관리, 시스템설계, 자산관리, 경영기획, 경영기획, 네트워크관리",신입·경력,학력무관,대전유성구외,정규직외,,,
8,2023년 교보증권 하반기 신입사원(5급) 공개채용,/Recruit/GI_Read/42921909?rPageCode=PL&logpath=21,교보증권㈜,"['신입', '대졸↑', '서울영등포구', '정규직']","고객관리, 관리회계, 해피콜, GUI, 데이터관리, 고객경험관리, 거래처관리, 금융상담, 방카슈랑스, 재무회계, 인터페이스, SI개발, 영업기획, 외환관리, 세무신고, DBMS, 금융, 대출상담, 자산관리사, 자금관리, 고객관리, 보험영업, 재무상담, 서버관리, 세무조정, 영업전략, 재무분석, 전화상담, 가맹점관리, 거래처관리, 관리회계, 자산관리, 재무회계, 회계감사, 금융상품기획, 기업회계, 고객지원, 모델링, 원가회계, 기업회계, SI개발, 거래선개발관리, 결산, 재무기획, 계산서발행, 연말정산, 결산, 매출관리, 법인고객영업, 입출금관리, 온라인상담, 인터페이스, 텔레마케팅, 거래처관리, 대리점관리, 부가세신고, 입출금관리, 데이터분석, 재무회계, 투자상담, 회원관리, 데이터마이닝, 세무조정, 외환관리, 전표입력, 증권, 반응형웹, 세무기장, 전화상담, DW모델러, 법인결산, 채권, 회계감사, 클라이언트, 핀테크, 여신상담, 연말정산, 이메일상담, 핀테크, 원가회계, 전산회계, ERP운용, 투자상담·자문, 세무신고, DB튜닝",신입,대졸↑,서울영등포구,정규직,,,
9,2023년 하반기 교보생명 신입사원 채용 및 채용연계형 인턴 모집,/Recruit/GI_Read/42930167?rPageCode=PL&logpath=21,교보생명,"['신입', '고졸↑', '서울', '정규직외']","고객관리, 전산입력, 해피콜, GUI, 고객경험관리, 웹표준·웹접근성, 거래처관리, 금융상담, UI·UX기획, GUI, GUI, 데이터분석, 보험상담, 자산운용, SI개발, 영업기획, 위험분석·관리, 금융, 문서관리, 콜통계분석, 데이터시각화, 보험영업, 시스템분석, 재무상담, 모바일디자인, 서버관리, 영업전략, 전화상담, 자산관리, 고객지원, 정보보안, 고객문의분석, 단순안내, 모바일디자인, 반응형웹, UI·UX기획, 거래선개발관리, 문서작성, 웹마스터, 투자상담·자문, 클라이언트, 콘텐츠기획, SI개발, 매출관리, 법인고객영업, 데이터분석, 온라인상담, 인터페이스, 텔레마케팅, 해지방어, 거래처관리, 생명보험, 데이터분석, 분석모델링, 보험영업, 회원관리, GUI, 투자상담·자문, 아키텍처, 시스템설계, 자산관리, 위험분석·관리, 반응형웹, 상담품질관리, 자산운용, 전화상담, UI·UX기획, 보험영업, 서비스기획, 재무분석, 핀테크, 통화품질분석, 여신상담, 이메일상담, 투자상담·자문, 고객경험관리",신입,고졸↑,서울,정규직외,,,
