,타이틀,링크,회사명,태그,설명,태그1,태그2,태그3,태그4,태그5,태그6,태그7
10,2023년 일반계약직 및 전문계약직 신규채용,/Recruit/GI_Read/42930235?rPageCode=PL&logpath=21,㈜농협사료,"['경력', '학력무관', '서울강동구외', '계약직']","C++, 생산설비, 전기기능사, 한우박사, 유지보수, 축우, C#, HMI, 농림·축산연구, 공장자동화, 네트워크관리, 윈도우서버, 안전, 축산, 사육, 사료개발, FA서버, 낙농박사, 생산공정, PLC, 축산, 환경관리, 제조업 공장",경력,학력무관,서울강동구외,계약직,,,
11,차량SW · ICT · 경영지원 부문 채용,/Recruit/GI_Read/42750740?rPageCode=PL&logpath=21,현대오토에버㈜,"['경력', '학력무관', '서울강남구외', '정규직외']","생산기술, SM, 빅데이터, 기구설계, 회로설계, 제어·설계, 연구·실험·기술, 제품개발, 데이터분석, 건축시공, 시공관리, 딥러닝, 신사업기획, 서버구축, 시스템분석, 시스템운영, 전기·전자, 제안·컨설팅, PM, 서버관리, 인공지능, 방화벽, 사업기획, 시스템분석, 정보보안, 앱기획, UI·UX기획, 네트워크관리, 자연어처리(NLP), 콘텐츠기획, 보안관제, 시스템설계, 데이터분석, 제어·설계, 급여관리, 자동차, 정보보안, 로봇설계, 서버구축, 시스템설계, 서비스기획, 서버관리, 경영기획, 생산기술, 소프트웨어개발, 건축시공, 모델링, 시공관리, 자동차",경력,학력무관,서울강남구외,정규직외,,,
12,[키움계열사 (주)와이즈버즈] 광고플랫폼 시스템 기획자 (경력 3년이상),/Recruit/GI_Read/42941708?rPageCode=PL&logpath=21,㈜와이즈버즈,"['경력1년↑', '초대졸↑', '서울강남구외', '정규직']","광고솔루션, 홍보대행, 데이터분석, SNS마케팅, PL, 프로모션대행, 카페·블로그관리, PM, 앱기획, 키워드광고, 콘텐츠기획, 데이터분석, 광고기획, 서비스기획, 시장조사, 광고제작, 시장분석, 광고대행",경력1년↑,초대졸↑,서울강남구외,정규직,,,
13,[LG그룹] 자동차 전장(AVN) 품질Solution(Teamcenter) 경력직 채용,/Recruit/GI_Read/42966712?rPageCode=PL&logpath=21,㈜비즈테크아이,"['경력', '대졸↑', '서울강서구', '정규직']","네트워크관리, SI개발, 임베디드, SI개발, 솔루션, 테스터, PL, 서버구축, 시스템분석, 시스템운영, PM, 서버관리, 시스템운영, 시스템분석, 정보보안, SI개발, 네트워크관리, SI개발, 보안관제, 시스템설계, ERP, 데이터분석, 솔루션스아키텍트, 클라우드개발자, 네트워크관리, 정보보안, 아키텍처, 서버구축, 시스템설계, PO, 서버관리, 클라우드아키텍트, 검증, 네트워크관리, 소프트웨어개발",경력,대졸↑,서울강서구,정규직,,,
14,[케이솔루션즈] 인공지능 데이터 작업 관리자 모집,/Recruit/GI_Read/42940439?rPageCode=PL&logpath=21,㈜케이솔루션즈,"['경력무관', '학력무관', '서울금천구외', '계약직', '300만원이상(월)', '사원급']","전산입력, 전산입력, 빅데이터, 데이터관리, 데이터레이크, 행정, 문서관리, 신사업기획, ETL, 데이터분석, 사업기획, 문서작성, 문서작성, 전략기획, 데이터마이닝, 문서관리, 경영기획, 소프트웨어개발, 데이터파이프라인",경력무관,학력무관,서울금천구외,계약직,300만원이상(월),사원급,
15,[대우건설 자회사]'23년 신입/경력직 공개채용 (경영기획/IT개발/외주관리/철골생산/현장소장/PC/CS/AS현장보수),/Recruit/GI_Read/42943843?rPageCode=PL&logpath=21,㈜대우에스티,"['신입·경력', '고졸↑', '강원', '정규직외']","안전평가, 건축기사, 건축설계, 품질보증, 하자보수, A·S수리, 생산관리, 품질보증, 건축시공, 시설점검, 데이터분석, 건설안전, 사업기획, 전기점검, 통계·분석, 계산서발행, 건설안전, 산업안전, 안전평가, 전기, 경영기획, 재무기획, 경영기획, 유지보수, 건축시공, 산업안전, 시공관리",신입·경력,고졸↑,강원,정규직외,,,
16,[주식회사 브릴스(BRILS)] 연구개발·기술·기계설계부·생산부 인재모집,/Recruit/GI_Read/42933863?rPageCode=PL&logpath=21,㈜브릴스,"['경력3년↑', '초대졸↑', '인천중구외', '정규직', '주임~대리급외']","생산기술, GUI, 웹표준·웹접근성, 기구설계, 메카트로닉스, 회로설계, 제어·설계, 캐드원, 제품개발, GUI, 자동제어, 펌웨어, 딥러닝, 데이터시각화, 시스템분석, 전기·전자, PM, 3D설계, 제조·공정, 기계조작, 로봇설계, 반응형웹, 웹마스터, 전기설계, 자연어처리(NLP), SI개발, 제품개발, 데이터분석, 제어·설계, 인터페이스, 자동화라인, 자동화라인, 자동차, 로봇설계, 챗봇, 시스템설계, 제품개발, CAM, 반응형웹, PLC, 생산기술, 공정개발, 기계조작, 로봇설계, 자동제어, 자동차, 회로설계",경력3년↑,초대졸↑,인천중구외,정규직,주임~대리급외,,
17,2023년 누리플렉스 전산팀 경력 채용,/Recruit/GI_Read/42812562?rPageCode=PL&logpath=21,㈜누리플렉스,"['경력3년↑', '대졸↑', '서울서초구', '정규직']","시스템분석, 시스템운영, 정보보안, 시스템설계, 시스템설계, 서버관리, 네트워크관리",경력3년↑,대졸↑,서울서초구,정규직,,,
18,각 부문별 채용 (영업/인프라관리/대외협력/IT개발/재무/PG시스템운영/마케팅/운영기획팀/두타운영팀),/Recruit/GI_Read/42847028?rPageCode=PL&logpath=21,글로벌텍스프리㈜,"['신입·경력', '초대졸↑', '서울중구외', '정규직외']","고객관리, 관리회계, 부가세신고, 유지보수, 유통관리, 전산입력, 전산입력, POS, 고객안내, 데이터관리, 디지털마케팅, SI개발, 거래처관리, 재무회계, 펌웨어, 인터페이스, 행정, 백화점, SI개발, 영업기획, 프로모션, 문서관리, 카페·블로그관리, 결제단말기, 아이큐브, 자금관리, 서버구축, 시스템분석, 시스템운영, 접수·예약, 영업전략, 재무분석, 가맹점관리, 시스템운영, 재무회계, 제휴마케팅, SNS마케팅, 고객지원, 매출관리, 사업기획, 시스템분석, 유통, 정보보안, 기업회계, 웹 운영, SI개발, 거래선개발관리, 고객응대, 네트워크관리, 문서작성, 문서작성, 바이럴마케팅, 재무기획, 키워드광고, 프로모션, 계산서발행, 정산, SI개발, 매출관리, 시스템설계, Oracle, 인터페이스, 전략기획, 콘텐츠기획, 대리점관리, 입출금관리, 기업홍보, 브랜드기획, 전략기획, SNS마케팅, 프로모션, 데이터마이닝, 매체관리, 서무, SNS마케팅, 고객응대, 문서관리, 서버구축, 전표입력, 제휴, Java, 서버관리, 콘텐츠기획, 네트워크관리, 화장품매장, 원가회계, 잡화매장, 전산회계, 데이터분석",신입·경력,초대졸↑,서울중구외,정규직외,,,
19,하반기 신입/경력 부문별 정규직 채용,/Recruit/GI_Read/42950635?rPageCode=PL&logpath=21,피엠인터내셔널코리아(유),"['신입·경력1년↑', '학력무관', '서울영등포구외', '정규직', '사원급외']","고객관리, 관리회계, 상품입출고, 전산입력, 창고관리, 빅데이터, 고객안내, 기업홍보, 4대보험, 거래처관리, 복리후생, 게시판관리, 원격상담, SNS마케팅, 영업기획, 재고관리, 물류센터, 브랜딩, 이벤트, 영업전략, 전화상담, 납품, 오프라인마케팅, 고객지원, 재고관리, 프런트, 단순안내, 고객응대, 결산, 매출관리, 언론홍보, 콘텐츠기획, 교육기획, 데이터분석, 기업홍보, 브랜드기획, 전략기획, 언론홍보, 프로모션, 매체관리, 고객응대, 문서관리, 시스템설계, 전표입력, 무역업, 문서관리, 고객안내, ERP운용",신입·경력1년↑,학력무관,서울영등포구외,정규직,사원급외,,
20,금융 application architect,/Recruit/GI_Read/42976135?rPageCode=PL&logpath=21,메타넷디지털㈜,"['경력10년↑', '학력무관', '경기수원시', '정규직']","아키텍처, AA",경력10년↑,학력무관,경기수원시,정규직,,,
21,ATS Network/VMware 엔지니어,/Recruit/GI_Read/42969941?rPageCode=PL&logpath=21,SK㈜,"['경력3년↑', '학력무관', '경기성남시외', '정규직']",서버구축,경력3년↑,학력무관,경기성남시외,정규직,,,
22,ATS Cloud/Infra DB 엔지니어,/Recruit/GI_Read/42969918?rPageCode=PL&logpath=21,SK㈜,"['경력3년↑', '학력무관', '경기성남시', '정규직']","네트워크관리, 클라우드개발자",경력3년↑,학력무관,경기성남시,정규직,,,
23,[엠포스] 백엔드 개발자 경력직 채용,/Recruit/GI_Read/42977964?rPageCode=PL&logpath=21,(주)엠포스,"['경력3년↑', '초대졸↑', '서울서초구', '정규직', '팀원']","온라인광고, 광고기획, 광고제작, 광고대행",경력3년↑,초대졸↑,서울서초구,정규직,팀원,,
24,ATS Oracle DB 운영,/Recruit/GI_Read/42969930?rPageCode=PL&logpath=21,SK㈜,"['경력3년↑', '학력무관', '경기성남시외', '정규직']",DBMS,경력3년↑,학력무관,경기성남시외,정규직,,,
25,ATS VDI 구축/운영,/Recruit/GI_Read/42969900?rPageCode=PL&logpath=21,SK㈜,"['경력3년↑', '학력무관', '경기성남시외', '정규직']","서버구축, 서버관리",경력3년↑,학력무관,경기성남시외,정규직,,,
26,시스템 운영관리직 경력사원 모집,/Recruit/GI_Read/42975414?rPageCode=PL&logpath=21,브리지텍,"['경력1년↑', '학력무관', '서울강서구', '정규직', '사원급외']",시스템운영,경력1년↑,학력무관,서울강서구,정규직,사원급외,,
27,NICE정보통신 수시 인재영입,/Recruit/GI_Read/42972983?rPageCode=PL&logpath=21,NICE정보통신㈜,"['신입·경력', '학력무관', '서울영등포구', '정규직외']","관리회계, ERP운용, 빅데이터, 데이터관리, 데이터레이크, 부가세신고, 계산서발행, 영업기획, 세무신고, ETL, 세무조정, 영업전략, 네트웍구축, 재무회계, BI, 모델링, 기업회계, 계산서발행, 결산, 매출관리, 부가세신고, POS, 데이터분석, 시장분석, 전표입력, 데이터분석, 전략기획, 통신, 데이터마이닝, 전표입력, DW모델러, 결산, 데이터파이프라인, 원가회계, 전산회계",신입·경력,학력무관,서울영등포구,정규직외,,,
28,(주)웅진 23년 하반기 채용연계형 신입인턴 채용(모집부문: AWS SA),/Recruit/GI_Read/42972442?rPageCode=PL&logpath=21,㈜웅진,"['신입', '학력무관', '서울중구', '인턴', '사원급']","네트워크관리, 서버구축, 시스템운영, 시스템운영, 시스템분석, 네트워크관리, 시스템설계, 솔루션스아키텍트, 클라우드개발자, 서버구축, 서버관리, 클라우드아키텍트",신입,학력무관,서울중구,인턴,사원급,,
29,"[앤씨앤/넥스트칩]2023년 10월 연구소, 영업마케팅 각 부문 신입/경력 모집",/Recruit/GI_Read/42975603?rPageCode=PL&logpath=21,㈜앤씨앤,"['신입·경력', '학력무관', '경기성남시', '정규직']","자동제어, 전기, 전기공사, 전기기사, 전기회로, 전자, 전자계산, 전자회로, 데이터분석, 브랜드기획, 전략기획, 콘텐츠기획, GUI, 반응형웹, SI개발, 시스템설계, 클라이언트, SI개발, 딥러닝, 인공지능, 클라우드개발자",신입·경력,학력무관,경기성남시,정규직,,,
30,2024년  CoAsia 반도체부문 신입/경력 엔지니어 공개채용,/Recruit/GI_Read/42968892?rPageCode=PL&logpath=21,코아시아,"['신입·경력', '대졸↑', '경기화성시외', '정규직외', '', '4,000만원이상', '사원급외']","FPGA, SoC, 프로토콜, ACE, ARM, AXI, Backend, CDC, code, CPU, DFT, frontend, DV, GPU, Integrity, NPU, NOC, RTL, shell, SDC, TCI, Synthesis, STA, Verilog, UVM, Verification, block, Coverage, sdc Clean UP, UPF Clock, Test Vector, auto place route, LPDDR5, 소프트웨어개발, 솔루션, 반도체, 회로설계, ASIC, SoC, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 인터페이스, 챗봇, 핀테크, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 네트워크관리, 서버구축, 시스템운영, 시스템분석, 시스템설계, 정보보안, 클라이언트, SI개발, 검증, 시스템분석, 시스템설계, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 웹마스터, GUI, 반응형웹, 웹표준·웹접근성, 3D설계, 회로설계, 생산기술, 정보통신, 제품개발, 회로설계, 제어·설계, 공정개발, 품질테스트, 전기·전자, 정보통신·IT, 제품개발, R&D, 반도체·LCD",신입·경력,대졸↑,경기화성시외,정규직외,,"4,000만원이상",사원급외
31,[키글]에서 함께할 직원을 채용합니다.,/Recruit/GI_Read/42975786?rPageCode=PL&logpath=21,키글,"['신입·경력', '학력무관', '서울서초구', '정규직']","2D디자인, SI개발, 만화디자인, 모바일앱게임, 증강현실, 펌웨어, 인터페이스, 방송기획, 데이터분석, 영상제작, 모션그래픽, 인사교육, Unity, 경력관리, 방송기획, 애니메이션, Sign디자인, 브랜드기획, 신사업기획, 서버구축, 시스템운영, 애니메이션, 제안·컨설팅, 캐릭터, 데이터분석, 영상제작, 챗봇, 방송제작, 삽화·일러스트, 2D디자인, 사업기획, 시스템분석, 가상현실, 앱기획, 클라이언트, SI개발, 영상제작, 콘텐츠기획, 2D디자인, 모델링, 애니메이션, 증강현실, 면접·채용, 평가·보상, 전략기획, 게임기획, 교육기획, 스토리보드, MMORPG, 영상제작, 메타버스, 급여관리, 디지털디자인, 방송제작, 원화디자인, 원화디자인, 플래쉬애니메이션, 인사행정, SNS마케팅, 2D디자인, 인사기획, 서버관리, 콘텐츠기획, 삽화·일러스트, 네트워크관리, 모션그래픽, 아바타디자인, 인코딩, 가상현실, 복리후생, 유튜브, 인사교육, 핀테크, 노사관리, 메타버스",신입·경력,학력무관,서울서초구,정규직,,,
32,2023년 유진로지스틱스/유진소닉 각 부문별 신입/경력사원 모집,/Recruit/GI_Read/42969365?rPageCode=PL&logpath=21,유진로지스틱스,"['신입·경력', '고졸↑', '서울용산구외', '정규직']","고객관리, 물류센터, 상품입출고, 거래처관리, 펌웨어, 육상운송, 영업기획, 재고관리, 물류센터, 배송, 신사업기획, 납품, 시스템운영, 운송, 서버관리, 구매계약, 바이어개발, 배차, 사업기획, 상품입출고, 시스템분석, 거래선개발관리, 시스템설계, 면접·채용, 평가·보상, 인터페이스, 전략기획, 거래처관리, 자재구매, 급여관리, 인사행정, 납품영업, 외주관리, 인사기획, 자재구매, 반응형웹, nexacro, Java, 경영기획, 인사교육, 국내영업, 물류, ERP운용",신입·경력,고졸↑,서울용산구외,정규직,,,
33,2023년 하반기 각 부문 신입/경력사원 모집,/Recruit/GI_Read/42976323?rPageCode=PL&logpath=21,한국생활건강,"['신입·경력', '학력무관', '경기안성시외', '정규직']","부가세신고, 창고관리, 행정, UI·UX기획, 더존, 식품MD, 품질보증, 영상제작, SNS마케팅, 퍼포먼스마케터, 비품관리, 웹디자인, 재고관리, 검증, 물류센터, 신사업기획, 건강식품, 변호사, 브랜딩, 중국어, 카페·블로그관리, 리테일MD, 설비, 재무회계, 홈쇼핑, HACCP, 고객지원, 사업기획, 상품입출고, 영어, 식품영업, 조직문화, 결산, 법무사, 산업안전, 상품기획, 쇼핑몰, 면접·채용, 평가·보상, 자재구매, 패키지디자인, 인사행정, QC, SNS마케팅, 납품영업, 상품입출고, 인사기획, 자재구매, 인쇄·출력, AMD, 맥디자인, 자산관리, 콘텐츠기획, 소송·민사·등기, 시장분석, 패키지디자인, 포장, 가맹영업, 국내영업, 노사관리, 전산회계, ERP운용",신입·경력,학력무관,경기안성시외,정규직,,,
34,태재대학교 각 부문별 채용,/Recruit/GI_Read/42976383?rPageCode=PL&logpath=21,태재대학교,"['신입·경력', '학력무관', '서울종로구외', '계약직']","CG, 복리후생, 행정, 부가세신고, 영상제작, 비품관리, 직업전문학교, 세무신고, 신사업기획, 데이터분석, 세무조정, 영상제작, 대학(교)교직원, 시스템운영, 모션그래픽, 사업기획, 교직원, 네트워크관리, 2D디자인, 대학교, 문화기획, 연구기획, SNS마케팅, 자산관리, 콘텐츠기획, 경영기획, 문서관리, 서무, 연말정산, 애니메이션",신입·경력,학력무관,서울종로구외,계약직,,,
35,[업계최고우대] ORACLE 데이터베이스 엔지니어 경력 채용(오라클 DBA),/Recruit/GI_Read/42974981?rPageCode=PL&logpath=21,에이텍정보통신㈜,"['경력4년↑', '초대졸↑', '서울영등포구', '정규직']","Migration, DBMS, ETL, Oracle DB 설치, Oracle, 데이터마이닝, upgrade, 데이터파이프라인",경력4년↑,초대졸↑,서울영등포구,정규직,,,
