,타이틀,링크,회사명,태그,설명,태그1,태그2,태그3,태그4,태그5,태그6,태그7
533,Storage Engineer,/Recruit/GI_Read/42620012?rPageCode=SL&logpath=21,㈜케이티넥스알,"['경력3년↑', '대졸↑', '서울송파구', '정규직']","BigData, 빅데이터, 서버구축, 솔루션, TA, 데이터파이프라인",경력3년↑,대졸↑,서울송파구,정규직,,,
534,(DE팀) Technical Architect,/Recruit/GI_Read/42619833?rPageCode=SL&logpath=21,㈜케이티넥스알,"['경력3년↑', '대졸↑', '서울송파구', '정규직']","BigData, 빅데이터, 서버구축, 솔루션, TA, 데이터파이프라인",경력3년↑,대졸↑,서울송파구,정규직,,,
535,토큰증권 서비스 프론트엔드 개발[미들],/Recruit/GI_Read/42773610?rPageCode=SL&logpath=21,블록체인글로벌,"['경력4년↑', '초대졸↑', '서울영등포구', '정규직']",컨텐츠,경력4년↑,초대졸↑,서울영등포구,정규직,,,
536,토큰증권 서비스 풀스택 개발[시니어],/Recruit/GI_Read/42773538?rPageCode=SL&logpath=21,블록체인글로벌,"['경력6년↑', '초대졸↑', '서울영등포구', '정규직', '과장~차장급']",컨텐츠,경력6년↑,초대졸↑,서울영등포구,정규직,과장~차장급,,
537,하드웨어 개발,/Recruit/GI_Read/42774148?rPageCode=SL&logpath=21,유정시스템㈜,"['경력5년↑', '대졸↑', '경기화성시', '정규직', '5,000~10,000만원']","회로설계, 반도체",경력5년↑,대졸↑,경기화성시,정규직,"5,000~10,000만원",,
538,WEB개발자 채용(경력자 우대),/Recruit/GI_Read/42557787?rPageCode=SL&logpath=21,에스엔정보기술㈜,"['경력4년↑', '초대졸↑', '경기안양시', '정규직']","자동제어, 전기제어, 전자, HMI, PLC",경력4년↑,초대졸↑,경기안양시,정규직,,,
539,[O2UX] 퍼블리셔 경력직 모집,/Recruit/GI_Read/42657972?rPageCode=SL&logpath=21,㈜오투유엑스,"['경력6년↑', '대졸↑', '서울강남구', '정규직']","GUI, 웹표준·웹접근성, 웹퍼블리셔, 반응형웹, 시각디자인, 웹마스터",경력6년↑,대졸↑,서울강남구,정규직,,,
540,"[IT기업]웹 개발자(JAVA, PHP) 채용",/Recruit/GI_Read/42561106?rPageCode=SL&logpath=21,㈜우리요,"['경력3년↑', '학력무관', '전북전주시외', '정규직', '3,500~5,000만원', '주임~대리급외']","모바일앱개발, 소프트웨어개발, 솔루션",경력3년↑,학력무관,전북전주시외,정규직,"3,500~5,000만원",주임~대리급외,
541,외국계대기업 (상주)엔지니어 채용,/Recruit/GI_Read/42772498?rPageCode=SL&logpath=21,나이츠넷,"['경력3년↑', '학력무관', '서울마포구외', '정규직']","시스템운영, 서버관리, 네트워크관리, 유지보수",경력3년↑,학력무관,서울마포구외,정규직,,,
542,[큐로드] 게임 QA 정규직 채용,/Recruit/GI_Read/42769928?rPageCode=SL&logpath=21,㈜큐로드,"['경력2년↑', '학력무관', '서울영등포구외', '정규직']","게임마케팅, 모바일앱게임, 테스터, 웹마스터, 게임운영관리, 베타테스터, 검증, GM·CS",경력2년↑,학력무관,서울영등포구외,정규직,,,
543,프론트엔드 개발자,/Recruit/GI_Read/42620148?rPageCode=SL&logpath=21,㈜케이티넥스알,"['경력3년↑', '대졸↑', '서울송파구', '정규직']","BigData, 솔루션",경력3년↑,대졸↑,서울송파구,정규직,,,
544,유니티 클라이언트 신입사원 모집,/Recruit/GI_Read/42982754?rPageCode=SL&logpath=21,㈜메타모션,"['신입', '초대졸↑', '서울구로구', '계약직', '2,800~3,200만원', '사원급외']","안드로이드, 모바일App, 클라이언트",신입,초대졸↑,서울구로구,계약직,"2,800~3,200만원",사원급외,
545,(주)위펀 - Frontend Engineer (React),/Recruit/GI_Read/42973968?rPageCode=SL&logpath=21,㈜위펀,"['경력3년↑', '학력무관', '서울강남구외', '정규직']","프론트, GUI, 개발팀, 개발자, 인터페이스, 소셜네트워크서비스(SNS), 인터넷생활정보, R&D, 반응형웹, 개발",경력3년↑,학력무관,서울강남구외,정규직,,,
546,[코스닥상장사-AP위성(주)] 위성 통신 소프트웨어 개발자 채용,/Recruit/GI_Read/42964263?rPageCode=SL&logpath=21,AP위성㈜,"['경력1년↑', '대졸↑', '서울금천구', '정규직']","UI·UX기획, C",경력1년↑,대졸↑,서울금천구,정규직,,,
