,타이틀,링크,회사명,태그,설명,태그1,태그2,태그3,태그4,태그5,태그6,태그7
0,서버 개발 실장 채용,/Recruit/GI_Read/42904347?rPageCode=PL&logpath=21,디어유,"['경력10년↑', '대졸↑', '서울강남구', '정규직']","SI개발, 서버관리, 모바일App, 클라이언트, 핀테크, HTTP",경력10년↑,대졸↑,서울강남구,정규직,,,
1,Payment 개발 포지션(Java 기반)채용,/Recruit/GI_Read/42903891?rPageCode=PL&logpath=21,디어유,"['경력3년↑', '대졸↑', '서울강남구', '정규직']","서버관리, 모바일App, 클라이언트, 핀테크",경력3년↑,대졸↑,서울강남구,정규직,,,
2,슈어소프트테크㈜ 2024년 신입사원 대규모 공개 채용,/Recruit/GI_Read/42965710?rPageCode=PL&logpath=21,슈어소프트테크㈜,"['신입', '대졸↑', '경기성남시외', '정규직']","네트워크관리, 솔루션영업, 솔루션, 시스템분석, 기술영업, 클라이언트, 시스템설계, 기술지원, 소프트웨어개발, 판매영업",신입,대졸↑,경기성남시외,정규직,,,
3,2023년 해커스교육그룹 신입 및 경력사원 채용,/Recruit/GI_Read/42975875?rPageCode=PL&logpath=21,㈜해커스어학원,"['신입·경력', '초대졸↑', '서울서초구', '정규직외']","교수설계, 데이터관리, 디지털마케팅, 사이트관리, 웹표준·웹접근성, 재무회계, 출판기획, SNS마케팅, 영사기사, 웹디자인, 컨텐츠개발, 프로모션, e러닝, 세무신고, 온라인서비스, PL, 카페·블로그관리, 회로설계, 시설점검, 학사운영, 교육상담, 교정, 서버구축, 시스템운영, 제안·컨설팅, 카페·블로그관리, PM, 강의기획, 모바일디자인, 챗봇, 콘텐츠개발, 시스템운영, 편집, php, 디자인AE, 오프라인마케팅, 제휴마케팅, ㈜해커스어학원, 학사관리, SNS마케팅, 고객지원, 교육기획, 어학원, 정보보안, 반응형웹, 앱기획, PL, SI개발, UI·UX기획, 네트워크관리, 바이럴마케팅, 웹마스터, 재무기획, 키워드광고, 프로모션, 영상제작, 클라이언트, 콘텐츠기획, 학사, SI개발, 교수설계, 유학상담, 전기설비, 증강현실, 출판, 사무기기, 텔레마케팅, 디지털디자인, 스토리보드, 펌웨어, 클라우드개발자, 세무기장, 이벤트기획, QA엔지니어, SNS마케팅, 디지털디자인, 출판기획, 프로모션, 회원관리, 데이터마이닝, 평생교육, 서버구축, 집필, PO, UI·UX기획, 교재제작, 맥디자인, 서비스기획, 서버관리, 클라우드아키텍트, 학생관리, 네트워크관리, 모션그래픽, 인코딩, 교육콘텐츠개발, 유튜브, 모션그래픽, 촬영보조, 교재개발, 원격평생교육원",신입·경력,초대졸↑,서울서초구,정규직외,,,
4,"대전] Linux 서버 운영자 모집(경력, 정규직)",/Recruit/GI_Read/42983750?rPageCode=PL&logpath=21,씨앤토트플러스㈜,"['경력2년↑', '초대졸↑', '대전유성구', '정규직']","서버구축, 시스템운영, SM, 서버관리",경력2년↑,초대졸↑,대전유성구,정규직,,,
5,[컴투스 그룹] 각 부문별 경력/신입 인재채용,/Recruit/GI_Read/42972366?rPageCode=PL&logpath=21,㈜컴투스,"['신입·경력', '학력무관', '서울금천구', '정규직']","관리회계, 사이트관리, 웹표준·웹접근성, 재무회계, UI·UX기획, 데이터분석, 서버구축, 시스템운영, 제안·컨설팅, 회계감사, PM, 광고기획, 시스템분석, 앱기획, UI·UX기획, 게임기획, 네트워크관리, 애니메이션, 콘텐츠기획, 시스템설계, 증강현실, 전략기획, 게임기획, 교육기획, 게임개발, 급여관리, 프로모션, 인사기획, 투자심사, 서비스기획, 서버관리, 시장분석, 가상현실",신입·경력,학력무관,서울금천구,정규직,,,
6,엔씨소프트 부문별 수시 채용,/Recruit/GI_Read/42971712?rPageCode=PL&logpath=21,㈜엔씨소프트,"['신입·경력', '학력무관', '경기성남시', '정규직']","게임소프트웨어, 데이터관리, 사이트관리, 콘솔게임, 모션그래픽, 테스터, 아케이드게임, 애니메이션, RPG, 게임디자인, 게임시나리오, 서버구축, PM, 방화벽, 게임기획, 게임운영관리, 네트워크관리, 모델링, 증강현실, 게임기획, 웹게임, Java게임, MMORPG, 게임개발, 베타테스터, 원화디자인, 원화디자인, 정보보안, 3D온라인게임, 시나리오작가, 서버관리, 검증, 아바타디자인, 퍼블리싱, 모션그래픽",신입·경력,학력무관,경기성남시,정규직,,,
7,2023년 하반기 각 부문 신입/경력 상시 채용,/Recruit/GI_Read/42971591?rPageCode=PL&logpath=21,㈜코난테크놀로지,"['신입·경력', '대졸↑', '서울서초구', '정규직']","네트워크관리, BigData, GUI, 빅데이터, OLAP개발자, 데이터관리, SI개발, 솔루션영업, 펌웨어, 데이터레이크, 인터페이스, 데이터분석, 음성인식, SI개발, 솔루션, 테스터, DBMS, 시스템영업, 웹마스터, 딥러닝, 데이터시각화, 암호화폐, ETL, 서버구축, 시스템분석, 시스템운영, 제안·컨설팅, 서버관리, 인공지능, 챗봇, 기술영업, 시스템운영, BI, 모델링, 방화벽, 시스템분석, 정보보안, 앱기획, 이미지프로세싱, SI개발, UI·UX기획, 네트워크관리, 웹사이트구축영업, 자연어처리(NLP), 클라이언트, 콘텐츠기획, SI개발, 보안관제, 시스템설계, 증강현실, 데이터분석, 인터페이스, 솔루션스아키텍트, 거래처관리, 클라우드개발자, 분석모델링, 네트워크관리, 정보보안, 데이터마이닝, 아키텍처, 챗봇, 서버구축, 시스템설계, 반응형웹, 핀테크, DW모델러, 기술지원, 네트워크영업, 서비스기획, 서버관리, 암호화폐, 음성인식, 클라우드아키텍트, 클라이언트, 검증, 네트워크관리, 소프트웨어개발, 가상현실, 핀테크, HTTP, 데이터파이프라인, 국내영업, 모델링, DB튜닝, 메타버스",신입·경력,대졸↑,서울서초구,정규직,,,
8,2023년 하반기 부문별 채용공고,/Recruit/GI_Read/42970506?rPageCode=PL&logpath=21,㈜시몬스,"['신입·경력1년↑', '경기이천시외', '정규직외']","고객관리, 관리회계, 창고관리, 건축설계, A·S수리, 재고관리, 건축시공, 물류센터, 소방·방재, 브랜딩, 회계감사, 3D설계, 가구디자인, 리테일MD, 배차, 상품입출고, 설치, 재고관리, 네트워크관리, 바이럴마케팅, VMD, 결산, 매출관리, 산업안전, 상품기획, 현장감리, 면접·채용, 판매관리, 납품기사, 브랜드기획, 가구판매, 프로모션, 가구, 보세운송, 상품입출고, 외자구매, 자재구매, 2D설계, 서버관리, 시장분석, 전시디자인, 환경관리, 원가회계, 전산회계",신입·경력1년↑,경기이천시외,정규직외,,,,
9,금융 application architect,/Recruit/GI_Read/42976135?rPageCode=PL&logpath=21,메타넷디지털㈜,"['경력10년↑', '학력무관', '경기수원시', '정규직']","아키텍처, AA",경력10년↑,학력무관,경기수원시,정규직,,,
