링크,회사명,법인명,채용내용,태그,뱃지,근무지,모집구분,학력조건
/zf_user/jobs/relay/view?view_type=list&rec_idx=46542118&adsCategoryItem=effect_bold&,(주)제스파,None,[제스파] QC 품질관리 직원채용(경기도 광주),['CISO대형마트생산관리품질검사원품질분석 외'],100명 이상,경기 광주시,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46627438&adsCategoryItem=effect_bold&,(주)광주은행,JB금융그룹,2023년 광주은행 전문/일반 계약직 수시 채용,['CSSHTMLJavaJavascriptJSP 외'],건설·건축 지원 급상승,광주 동구 외,신입 · 경력 · 계약직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46609356&adsCategoryItem=effect_bold&,㈜선일다이파스,None,[자동차부품 1차업체] 선일다이파스 경력사원 모집,"['유지보수ERPS', 'W기술영업해외영업 외']",인기있는,충북 진천군,경력 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46620056&adsCategoryItem=effect_bold&,(의)케이씨엘의료재단,None,각 부문별 정규직 채용,['유지보수C#MSSQL예산관리자금관리 외'],인기있는,서울 강동구 외,신입 · 경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634977,로버트보쉬코리아(유),None,[로버트보쉬코리아] SW-System Designer(소프트웨어 개발 - 시스템 디자이너)_정규직 채용(신입/경력),"['기술지원SE(시스템엔지니어)솔루션임베디드S', 'W 외']",인기있는,경기 용인시 기흥구,신입 · 경력 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635707,(주)엔엑스쓰리게임즈,None,[Project L][서버 프로그래머] 컨텐츠 개발,['게임개발C#C++MSSQLUnity'],None,서울 강남구,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46622743,동양생명보험(주),다자보험그룹,동양생명보험㈜ 경력사원 채용,"['기술지원데이터분석가데이터엔지니어백엔드', '서버개발보안컨설팅 외']",금융·보험 지원 TOP100,서울 종로구,경력 · 계약직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46516649,인지컨트롤스(주),인지컨트롤스그룹,인지컨트롤스(주) 하반기 각부문 신입/경력 채용,"['DBMSH', 'WRDBMSS', 'WSAP 외']",생산 스크랩 TOP100,경기 시흥시 외,신입 · 경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46636463,(주)천재교육,천재교육그룹,[천재교육그룹 AIDT & 밀크T부문 공개채용] 부문별 인재 모집,"['데이터분석가백엔드', '서버개발웹개발유지보수정보보안 외']",교육 지원 TOP100,서울 금천구,신입 · 경력 · 정규직 외,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46637057,(주)클래스팅,None,DevOps / SRE 엔지니어,['인프라클라우드AWSKubernetesDevOps'],None,서울 강남구,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46640033&adsCategoryItem=effect_bold&,이씨아이(주),None,업무별 담당자 모집 경력 및 신입 채용,['유지보수정보보안네트워크ERP노무사 외'],인기있는,경기 의왕시 외,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46341798&adsCategoryItem=effect_bold&,동아참메드㈜,동아쏘시오그룹,2023년 동아참메드(주) 각 부문 신입 및 경력 수시채용,"['정보보안SE(시스템엔지니어)임베디드펌웨어H', 'W 외']",인기있는,경기 군포시 외,신입 · 경력 · 정규직,"대학(2,3년)↑"
