링크,회사명,법인명,채용내용,태그,뱃지,근무지,모집구분,학력조건
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635962,(주)마이티일렉,None,반도체 전자부품 FAE 모집합니다.,"['FAEH', 'W기술지원']",None,서울 금천구,경력 2년↑ · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635961,엔아이티서비스 주식회사,네이버그룹,[NIT Service] NAVER IDC 서버 운영/관리,['네트워크IDC인프라'],None,경기 성남시 분당구,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46611887,에스넷아이씨티(주),None,네트워크 운영/상주 엔지니어(서울시 상암데이터센터),['기술지원보안컨설팅정보보안CISOSE(시스템엔지니어) 외'],취업축하금,서울 마포구 외,3 ~ 20년 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46386887,헥사곤지엠아이(주),None,"[국비지원] 일본 IT, 공항지상직 실전취업반 모집",['기술지원ICT컨설팅Java지상직공항 외'],인기있는,서울 강남구 외,경력무관 · 교육생 외,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635937,(주)씨아이에스엠텍,None,"소프트웨어 개발자 채용 JAVA, JSP, SPRING, POWER/EXBUILDER",['파워빌더JavaJavascriptSpringJSP'],None,서울 금천구,신입 · 경력 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635931,(주)로그스택,None,Python 개발자 채용,"['백엔드', '서버개발솔루션DjangoFlaskLinux 외']",None,서울 성동구,신입 · 인턴직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635908,(주)코아맥스테크놀로지,None,[기업부설연구소] 보안솔루션 엔지니어 및 SQA 모집,"['유지보수정보보안QA', '테스터SE(시스템엔지니어)네트워크 외']",None,서울 금천구,신입 · 경력 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635675,넷마블에프앤씨(주),넷마블그룹,그랜드크로스 : 에이지 오브 타이탄(전략) 서버 프로그래머 담당,"['게임개발백엔드', '서버개발RDBMSJavaSpring']",None,서울 구로구,경력 2년↑ · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46584884,의료법인 순천의료재단,None,[성남정병원] 종합병원 전산실(총무팀) 경력자 모십니다.,['기술지원유지보수정보보안네트워크방화벽'],None,경기 성남시 수정구,경력 2년↑ · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46626844,(주)사랑방미디어,사랑방미디어그룹,아파트 엘리베이터 내 모니터 유지보수 직원 채용,['유지보수정보보안총무문서작성비품관리 외'],None,광주 북구,경력무관 · 계약직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46148813,슈어소프트테크(주),슈어소프트테크그룹,SW검증 (DX품질기술팀)_대전,"['임베디드S', 'WC언어정보통신C++']",취업축하금,대전전체 외,신입 · 경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46522747,(주)헤론헬스정보시스템,None,물류시스템 운영 및 개발(Java) 경력자 채용,"['백엔드', '서버개발앱개발웹개발웹마스터유지보수 외']",None,서울 서대문구,10 ~ 12년 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635778,(주)지오넷,None,웹 퍼블리셔 모집,['퍼블리셔웹표준·웹접근성HTMLJavascript크로스브라우징 외'],None,대전 유성구,경력 1년↑ · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=44844541,슈어소프트테크(주),슈어소프트테크그룹,"SW검증 (에너지검증1,2팀)_판교(동탄)","['QA', '테스터S', 'WC++C언어QA 외']",취업축하금,경기전체 외,신입 · 경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46611673,(주)팬마음,None,팬플러스 QA 담당(병역특례_보충역),"['QA', '테스터API']",취업축하금,서울 강남구 외,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635643,(주)크레이지알파카,None,[부동부동] 개발팀 백엔드 개발자 채용(팀장),"['데이터분석가데이터엔지니어백엔드', '서버개발앱개발데이터시각화 외']",None,서울 영등포구,4 ~ 10년 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635638,(주)아이투맥스,None,[Salesforce/업계 1위] Salesforce 경력직 상시채용,['데이터엔지니어웹개발유지보수프론트엔드DBA 외'],None,서울 마포구,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635629,(주)아이투맥스,None,[Salesforce/업계 1위] 프로젝트 매니저 (PM) 채용,['IT컨설팅SE(시스템엔지니어)모델링SAPABAP 외'],None,서울 마포구,5 ~ 15년 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635627,(주)크레이지알파카,None,[부동부동] 개발팀 백엔드 개발자 채용(팀원),"['데이터분석가데이터엔지니어백엔드', '서버개발앱개발데이터시각화 외']",None,서울 영등포구,경력 1년↑ · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46581542,(주)제이넷,제이넷그룹,"[경력] 웹개발자(JSP,JAVA,SPRING) 채용",['웹개발Java유지보수JSPMariaDB 외'],None,서울 송파구 외,경력 3년↑ · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635609,엔아이티서비스 주식회사,네이버그룹,[NIT Service] 네이버서비스API기술지원-네이버페이/인증서,['기술지원APIASPJSPPHP 외'],None,경기 성남시 분당구,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635603,(주)카카오게임즈,카카오그룹,[카카오게임즈 자회사] 메타보라 - 캐주얼게임 서버 프로그래머,"['백엔드', '서버개발프론트엔드블록체인RDBMSJava 외']",None,경기 성남시 수정구,3 ~ 8년 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46401963,(주)바이오에이아이,None,미래 성장을 함께 할 인공지능 분야 기획팀장을 채용합니다.,['빅데이터알고리즘챗봇AI(인공지능)사업기획 외'],None,서울 강남구,경력 3년↑ · 정규직 외,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46619634,(주)니트로아이,None,PHP 웹개발 모집,['웹개발MariaDBMySQLPHP'],IT개발·데이터 지원 급상승,경기 수원시 팔달구,경력 2년↑ · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46232751,(주)와그,None,[WAUG] 와그 웹 프론트엔드 개발자 모집,['웹개발퍼블리셔프론트엔드반응형웹웹표준·웹접근성 외'],취업축하금,서울 종로구 외,4 ~ 7년 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46593232,(주)아정네트웍스,None,[아정] 강남 연구소 웹퍼블리셔 경력 채용,"['백엔드', '서버개발앱개발웹개발퍼블리셔프론트엔드 외']",None,서울 강남구 외,경력 2년↑ · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635560,(주)씨에스앤에스,None,컴퓨터 수리 및 Refurbish작업(내근직),"['유지보수H', 'W영업지원고객관리정비기사 외']",None,서울 강서구,신입 · 경력 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635540,(재)한국의류지능화연구소,None,연구개발 경력사원 모집 공고(계약직),['데이터엔지니어앱개발웹개발SI개발데이터시각화 외'],None,서울 강남구,경력무관 · 계약직,석사↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635536,이스타항공(주),None,[이스타항공] IT 직군 경력직 상시채용,"['백엔드', '서버개발네트워크클라우드Javascript유지보수 외']",None,서울 강서구,경력 3년↑ · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635531,(주)마이즈,None,"[경력/신입] 웹디자이너(퍼블리싱,디자인) 채용",['퍼블리셔프론트엔드반응형웹웹표준·웹접근성크로스브라우징 외'],None,인천 연수구,경력무관 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635524,엔아이티서비스 주식회사,네이버그룹,[NIT Service] NAVER/LINE 보안관제,['정보보안기술지원보안관제악성코드Python'],None,경기 성남시 분당구,신입 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635485,삼호산업(주),None,삼호산업(주) 본사 전산팀 경력사원 채용,['기술지원데이터엔지니어보안컨설팅유지보수정보보안 외'],None,부산 해운대구,경력 3년↑ · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46394611,(주)트리시스,None,서버(클라우드) 인프라 엔지니어(신입/경력) 모집,['WindowsCentOSMSSQLMySQL인프라 외'],None,서울 구로구,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635474,(주)휴먼아이티솔루션,None,디지털트윈 스마트공장 솔루션 사업부문 모집(SW개발),['앱개발웹개발SI개발APIIoT 외'],None,전남 무안군,경력무관 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46409399,(주)와이즈스톤,와이즈스톤그룹,[업계 최고 대우] ICT시험인증 전문시험원 모집 (영어회화 능통),"['QA', '테스터S', 'WR&D정보보안']",None,서울 서초구,3 ~ 7년 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635466,(주)우성정보기술,None,(서울) 넷백업 구축 및 유지보수 엔지니어 경력직 채용,['인프라클라우드기술지원유지보수'],None,서울 강남구,3 ~ 20년 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635465,코위버(주),코위버그룹,마케팅팀 신입 및 경력사원을 모집 합니다.,['정보통신ERP'],None,서울 강서구,신입 · 경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635464,(주)마크티,네이버그룹,마크티 기술연구소 QA팀 SW Part 채용,"['QA', '테스터스크립트IoTiOSLinux']",None,경기 성남시 분당구,신입 · 경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46565843,(주)엔트로정보기술,None,[경력] C#.NET 프로그램 개발 경력사원 모집,['IT컨설팅MES.NETC++'],None,서울 금천구,경력 3년↑ · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46329979,㈜모니터랩,모니터랩그룹,모니터랩 소프트웨어 품질보증[QA](신입/경력) 채용,"['정보보안QA', '테스터네트워크방화벽Linux 외']",None,서울 구로구,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46618388,(주)엔이에스,None,웹 프로그램 개발자(신입) 모십니다.,"['백엔드', '서버개발웹개발프론트엔드DBA모델링 외']",None,충북 청주시 청원구,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46567946,(주)엔트로정보기술,None,"IT개발자 (JAVA,C#개발) 채용 공고","['백엔드', '서버개발웹개발유지보수C#Java 외']",None,서울 금천구 외,경력 3년↑ · 정규직 외,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46341804,(주)엠큐브컴퍼니,None,본사 기술영업팀 신입 - 정규직 채용,['기술지원기술영업영업관리솔루션기술영업기술연구 외'],None,경기 용인시 기흥구,신입 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635415,(주)원메딕스인더스트리,None,안드로이드 개발자 채용공고(5년이상),['AndroidSDK헬스케어GraphQLKotlin'],None,서울 강남구,5 ~ 10년 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46539467,(주)리버스아이티,None,[삼성SDS상암] AMS 솔루션 엔지니어 기술지원 경력,['기술지원SE(시스템엔지니어)IDCLinux빅데이터 외'],None,서울 마포구,10 ~ 20년 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635385,현대에이치디에스(주),현대해상화재보험그룹,AA(Application Architecture) 경력직원 모집,['임베디드Java기술지원클라우드ERP 외'],None,서울 송파구,경력 4년↑ · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46296748,(주)드래프티파이,None,AI 엔지니어 채용 (자연어처리/컴퓨터비전),['딥러닝영상처리NLP(자연어처리)AI(인공지능)컴퓨터비전'],None,서울 강남구,경력 3년↑ · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46296939,(주)드래프티파이,None,플레이스쿼드 프론트엔드 / 모바일 엔지니어,['앱개발프론트엔드FlutterGitJavascript 외'],None,서울 강남구,경력 1년↑ · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46605305,(주)렛츠밀란커머스,None,[렛츠밀란커머스] PHP 웹 개발자 모집,"['백엔드', '서버개발웹개발유지보수퍼블리셔API 외']",None,서울 성동구,경력무관 · 정규직 외,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635317,C&C KOREA,None,"인천 은행 시스템 운영 c#, java 초급 구인",['C#JavaC++금융경험자은행업무경험자'],None,인천 남동구,경력 4년↑ · 프리랜서,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635315,(주)현대에버다임,현대백화점그룹,(주)현대에버다임 건설기계 해외A/S엔지니어 모집,"['기술지원정비기사A', 'S기사기계수리설비점검 외']",None,충북 진천군,신입 · 경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635312,(주)고퀄,None,[주식회사 고퀄] 2023년 품질관리 스페셜리스트 채용,"['데이터분석가데이터엔지니어유지보수정보보안QA', '테스터 외']",None,서울 금천구,경력 2년↑ · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635299,(주)아이소프트,None,"2023, 웹 퍼블리셔 경력직(중급/프리랜서) 채용(상시)",['프론트엔드DBMSCSSCSS3HTML 외'],None,부산 해운대구,4 ~ 7년 · 프리랜서,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635285,(주)소프트디비코리아,None,"자바 초급 웹 개발자(Java, JSP, ajax) 정규직 모집",['웹개발AjaxJavaJSP'],IT개발·데이터 지원 TOP100,서울 서초구,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46502655,㈜상아뉴매틱,None,[정보기술팀] 전산 담당자 채용(한국어 능통 베트남인 지원가능),['기술지원유지보수정보보안네트워크인프라 외'],None,대구 달성군,신입 · 경력 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46600016,(주)켐옵틱스,디엔에프그룹,펌웨어 및 GUI 개발 담당자 모집,['펌웨어'],None,대전 유성구,경력 1년↑ · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635266,비앤에프테크놀로지㈜,None,소프트웨어(C++) 개발 모집 (신입/경력),"['웹개발QA', '테스터빅데이터솔루션C# 외']",None,대전 유성구,경력무관 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635245,비앤에프테크놀로지㈜,None,[시차출퇴근제] DCS SW 엔지니어 (신입/경력),"['데이터엔지니어솔루션S', 'W원자력머신러닝 외']",None,대전 유성구,경력무관 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635240,주식회사 네스텍,None,C# / C++ 프로그래머 모집 (초보 환영),"['S', 'WC#C++C언어Java']",None,충남 천안시 서북구,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635234,주식회사 네스텍,None,C# 프로그래머 모집합니다 (초보자 환영),"['임베디드S', 'WC#C++C언어 외']",None,서울 금천구,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635231,(주)유니베이아이엔씨,None,[프로젝트/염창]금융사 협업시스템 구축 개발 웹프로그래머 채용,['웹개발CSSHTML'],None,서울 강서구,3 ~ 20년 · 계약직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635230,비앤에프테크놀로지㈜,None,[시차출퇴근제] 프로젝트 엔지니어 모집,"['데이터엔지니어SE(시스템엔지니어)정보통신S', 'W머신러닝 외']",None,대전 유성구,경력무관 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46566312,C&C KOREA,None,은행(금융권) SSO 플랫폼 개발 java 고급 구인,['JavaLinuxPro-CUnix솔루션 외'],None,인천 남동구,경력 9년↑ · 프리랜서,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635220,(주)발렌타인드림,네시삼십삼분그룹,[발렌타인드림] 인게임 촬영 및 에디팅,"['QA', '테스터영상디자이너크리에이터프리뷰어영상제작 외']",None,서울 강남구,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635199,(주)발렌타인드림,네시삼십삼분그룹,"[발렌타인드림] 2D, 3D 영상제작자 모집",['UnityUnreal애니메이터2D디자인3D디자인 외'],None,서울 강남구,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635150,(주)아크릴,None,프론트엔드 엔지니어 모집,['웹개발프론트엔드JavascriptTypeScriptVue.js 외'],IT개발·데이터 스크랩 TOP100,서울 강남구,신입 · 경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46627466,(주)지투지,None,[나나성형외과] 웹디자인/퍼블리셔 채용,['퍼블리셔반응형웹모바일디자인웹디자인데이터분석 외'],기획·전략 조회 급상승,서울 강남구,2 ~ 3년 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46369569,(주)바바리안모터스,바바리안모터스그룹,BMW바바리안모터스 본사 부문별 채용,['보안컨설팅IT컨설팅고객응대마케팅기획마케팅전략 외'],None,인천 연수구,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635094,(주)발렌타인드림,네시삼십삼분그룹,[발렌타인드림] 3D 제너럴리스트/모델러 모집,['UnityUnreal3D디자인VFX메타버스 외'],None,서울 강남구,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46541411,(주)미다웍스,None,ReactJS 기반 애플리케이션 개발자 모집,['솔루션ReactJSTypeScript'],None,대구 북구 외,경력무관 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46459351,티엠파크,None,[재택근무]쿠팡이츠 고객센터 앱 이용관련 상담 모집,['네트워크사무직안내데스크문서작성사무보조 외'],재택근무,서울 강서구 외,경력무관 · 정규직 외,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635053,(주)인텔리빅스,쿠도커뮤니케이션그룹,해외향 솔루션 C++ 개발자 모집 (AI 영상분석 관제 SW),['영상처리C++MFCVisualC·C++네트워크 외'],None,서울 서초구,신입 · 경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46635036,아이에스오에스컨설팅㈜,None,(경력) 정규직 C# 및 VB 가능한 개발자 모집,['.NETC#GitJavaMSSQL 외'],None,서울 금천구,경력 2년↑ · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46265938,워터월시스템즈(주),None,이랜드(E-LAND) 보안솔루션(DLP) 운영 유지보수,"['기술지원정보보안솔루션S', 'W유지보수 외']",None,서울 금천구,2 ~ 10년 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46279506,(주)비전브이아이텍,None,"경력,신입사원(JAVA)정직원을 모집 합니다",['웹개발.NET파워빌더C#Java 외'],None,서울 구로구,경력무관 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46603444,글로벌엠아이지,None,웹 디자인/퍼블리셔 모집 [주5일7시간 근무제],['퍼블리셔웹표준·웹접근성CSSHTMLJavascript 외'],IT개발·데이터 스크랩 급상승,서울 광진구 외,신입 · 경력 · 정규직 외,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=44607757,슈어소프트테크(주),슈어소프트테크그룹,SW검증 (우주항공SW기술팀) - 대전,"['S', 'WC++C언어']",취업축하금,대전전체 외,신입 · 경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46524495,(주)티오에스코리아,None,[정규직전환가능/신입가능] 셀트리온 IT 유지보수 담당자 채용,"['유지보수정보보안인프라S', 'W네트워크']",100명 이상,인천 연수구,경력무관 · 계약직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46238223,(주)미니소프트,None,2023년 미니소프트 경력직 채용 (솔루션개발/서비스개발),['웹개발SI개발솔루션.NETC# 외'],None,서울 서초구,2 ~ 8년 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634992,(주)에스와이컴퍼니,None,리액트 경력직 계약직 및 프리랜서 채용,['웹개발CSSCSS3HTMLHTML5 외'],None,광주 광산구,3 ~ 10년 · 계약직 외,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634983,(주)에스와이컴퍼니,None,안드로이드 개발 채용,['앱개발웹개발프론트엔드Java'],None,광주 광산구,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634978,에이에스엠엘코리아(주),None,[ASML] IT End User Service Engineer,['네트워크OAWindowsLinux'],None,경기 화성시,5 ~ 10년 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634976,(주)리눅스데이타시스템,None,"리눅스 엔지니어 채용 (상주업무[선릉], 신입/경력 가능)","['SE(시스템엔지니어)DevOpsS', 'WCentOSLinux 외']",None,서울 강남구,신입 · 경력 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634975,(주)넷컴솔루션,None,[넷컴솔루션] IT R&D 기획 제안 및 마케팅,['IT컨설팅R&DR&D기획R'],None,서울 강남구,경력무관 · 정규직,석사↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634968,(주)리눅스데이타시스템,None,리눅스엔지니어 신입채용,"['백엔드', '서버개발SE(시스템엔지니어)H', 'WS', 'WVDI 외']",None,서울 강남구,신입 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46406115,(주)모던텍,None,펌웨어 개발자 경력사원 모집합니다(정규직),['임베디드펌웨어RTOSC++R'],IT개발·데이터 조회 급상승,서울 강서구,3 ~ 10년 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46321822,이인텔리전스(주),None,ADAS/ADS 인지 알고리즘 개발(VisionAI)  신입 / 경력 사원 채용,['딥러닝알고리즘영상처리자율주행C++ 외'],None,서울 강남구,신입 · 경력 · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634936,파르나스호텔(주),GS그룹,[인터컨티넨탈호텔] 서울 부문별 경력직 채용,['보안컨설팅유지보수IT컨설팅조리사지배인 외'],서비스 지원 TOP100,서울 강남구,3 ~ 20년 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46524118,(주)소모이앤티,None,"주유기 보드 개발, 소프트웨어 개발 or 외주 개발 관리자 모집","['앱개발유지보수S', 'W프로젝트관리']",None,경기 성남시 분당구,경력무관 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634933,(주)미래컴퍼니,미래컴퍼니그룹,[(주)미래컴퍼니] 수술로봇 SQA(V&V),['품질보증SQA메카트로닉스네트워크'],None,서울 송파구,경력 3년↑ · 정규직,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634930,대구공업대학교,None,대구공업대학교 전산업무분야 계약직 직원 채용 공고,['정보보안'],None,대구 달서구,경력무관 · 계약직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634911,에이스정보통신,None,[정규직] 카드단말기/포스 설치관리 엔지니어를 모집합니다.,"['유지보수가맹점관리정비기사A', 'S기사']",None,경기 남양주시,신입 · 경력 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634909,(주)리눅스데이타시스템,None,오픈소스솔루션 영업 담당자 신입채용,['LinuxMySQL기술영업솔루션기술영업시스템영업 외'],None,서울 강남구,신입 · 경력 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634908,(주) 알앤텍,알앤텍그룹,[정규직]  테크니컬센터 컴퓨터 외 설치/반납 사원 모집,"['유지보수H', 'W정비기사A', 'S기사물류관리 외']",None,경기 하남시,경력무관 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46472917,대화기기㈜,None,[대화기기] 의료기기 하드웨어(H/W) 전력전자 개발자 채용,"['H', 'W회로설계전자제어SMPSPads']",None,서울 강남구,경력무관 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46472928,대화기기㈜,None,[대화기기] 의료기기 FW(펌웨어) 경력직 연구원 정규직 채용,['임베디드펌웨어R&D기술연구SMPS 외'],None,서울 강남구,경력무관 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634896,(주) 알앤텍,알앤텍그룹,[정규직] 기술지원팀 내근직원 모집,"['유지보수H', 'W정비기사A', 'S기사물류관리 외']",None,경기 하남시,경력무관 · 정규직,고졸↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634874,(주)케이비시스,None,[케이비시스] '퍼플리셔'를 모집합니다. (경력),['퍼블리셔'],None,서울 구로구,경력 5년↑ · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46590097,(주)센서뷰,None,RF커넥터 설계 우수인력 모집,['정보통신연구원R&D회로설계2D설계 외'],None,경기 화성시,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634866,(주)라인월드,None,[정규직] 프론트엔드 개발자 및 퍼블리셔 신입/경력 채용,['앱개발웹개발퍼블리셔프론트엔드CSS 외'],None,대전 유성구,경력무관 · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46375504,(주)싸이버로지텍,유수홀딩스그룹,(주)싸이버로지텍 2023년 경력 채용,"['데이터분석가데이터엔지니어백엔드', '서버개발웹개발퍼블리셔 외']",IT개발·데이터 스크랩 급상승,서울 마포구,경력 · 정규직 외,대학교(4년)↑
/zf_user/jobs/relay/view?view_type=list&rec_idx=46361362,(주)아크로노드,None,시스템 엔지니어(SE) 부문 담당자 채용,['기술지원유지보수SE(시스템엔지니어)네트워크미들웨어 외'],None,서울 금천구,경력무관 · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634852,(주)켐옵틱스,디엔에프그룹,랩뷰 개발 담당자 모집,['LabVIEW'],None,대전 유성구,경력 1년↑ · 정규직,"대학(2,3년)↑"
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634834,(주)인터엑스,None,[대구] 컨설팅본부 PM/PL (신입/경력) 채용,['IT컨설팅솔루션ERP'],None,대구 수성구,경력 1년↑ · 정규직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46634833,비케이시스템즈(주),None,노트북 기본 프로그램 설치 지원 및 납품배송 기사 모집,['기술지원유지보수네트워크납품운전원물류기사 외'],None,경남 김해시,경력무관 · 계약직,학력무관
/zf_user/jobs/relay/view?view_type=list&rec_idx=46446500,(주)에너자이,None,(전문연구요원 가능) ML Engineer / Researcher 채용 공고,['딥러닝머신러닝알고리즘컴퓨터비전Keras 외'],None,서울 강남구,경력무관 · 정규직 외,고졸↑
