,년,월,제목,부제목,링크,작가,출판사,출판일,가격,리뷰,리뷰링크,별점,태그,book_id
30,2023,8,한석준의 말하기 수업,말하기에 자신이 생기면 인생이 바뀝니다,https://www.yes24.com//Product/Goods/121925411,['한석준'],인플루엔셜,2023년 08월,"15,120원",50,https://www.yes24.com/Product/Goods/121925411?ReviewYn=Y,9.8,['#얼리리더'],121925411
31,2023,8,디즈니픽사 엘리멘탈 무비동화 ,,https://www.yes24.com//Product/Goods/119620024,['수잔 프랜시스'],애플비,2023년 06월,"10,800원",2,https://www.yes24.com/Product/Goods/119620024?ReviewYn=Y,9.0,[],119620024
32,2023,8,미래의 나를 구하러 갑니다,후회는 줄이고 실행력은 높이는 자기조절의 심리학,https://www.yes24.com//Product/Goods/121154759,['변지영'],더퀘스트,2023년 08월,"15,120원",40,https://www.yes24.com/Product/Goods/121154759?ReviewYn=Y,9.8,"['#이달의주목신간', '#얼리리더', '#이달의굿즈', '#태도의힘', '#뇌과학심리학활용']",121154759
33,2023,8,타키 포오의 이세계 여행사 3,,https://www.yes24.com//Product/Goods/120465726,['캐릭온TV'],대원씨아이(단행)(대원키즈),2023년 07월,"11,700원",0,None,0,"['#애니메이션', '#판타지', '#유튜버']",120465726
34,2023,8,해커스 여행일본어 10분의 기적,상황별 장소별로 바로 말하는 여행 일본어회화,https://www.yes24.com//Product/Goods/72334664,['해커스 일본어연구소'],해커스어학연구소,2019년 05월,"8,820원",17,https://www.yes24.com/Product/Goods/72334664?ReviewYn=Y,9.0,['#분철'],72334664
35,2023,8,2023 한 권으로 끝내는 해커스 토익 실전 LC+RC 문제집 (모의고사+해설집),Listening 5회분 + Reading 5회분,https://www.yes24.com//Product/Goods/118444149,['해커스 어학연구소'],해커스어학연구소,2023년 04월,"16,110원",43,https://www.yes24.com/Product/Goods/118444149?ReviewYn=Y,9.9,['#분철'],118444149
36,2023,8,내가 틀릴 수도 있습니다,숲속의 현자가 전하는 마지막 인생 수업,https://www.yes24.com//Product/Goods/108850617,['비욘 나티코 린데블라드'],다산초당,2022년 04월,"14,400원",190,https://www.yes24.com/Product/Goods/108850617?ReviewYn=Y,9.4,"['#올해의책', '#크레마클럽에있어요', '#삶의고통이크다면', '#참선하는삶', '#삶의자세']",108850617
37,2023,8,잘했고 잘하고 있고 잘 될 것이다 (스페셜 리미티드 에디션),,https://www.yes24.com//Product/Goods/101682634,['정영욱'],부크럼,2022년 10월,"13,500원",132,https://www.yes24.com/Product/Goods/101682634?ReviewYn=Y,9.8,"['#크레마클럽에있어요', '#문학뉴스레터에소개된책', '#단짠단짠인생', '#위로와공감', '#나를사랑하는나에게']",101682634
38,2023,8,이방인,,https://www.yes24.com//Product/Goods/4827613,['알베르 까뮈'],민음사,2011년 03월,"9,000원",163,https://www.yes24.com/Product/Goods/4827613?ReviewYn=Y,9.0,"['#세계문학', '#알쓸범잡', '#노벨상수상자', '#방탄책방', '#북클러버의선택']",4827613
39,2023,8,영어회화 100일의 기적 ,100일 후에는 나도 영어로 말한다!,https://www.yes24.com//Product/Goods/112234331,['문성현'],넥서스,2022년 09월,"12,600원",21,https://www.yes24.com/Product/Goods/112234331?ReviewYn=Y,9.9,"['#분철', '#크레마클럽에있어요']",112234331
40,2023,8,2024 해커스경찰 조현 경찰학 기본서 ,경찰공무원,https://www.yes24.com//Product/Goods/118631236,['조현'],해커스경찰,2023년 05월,"43,200원",0,None,0,['#분철'],118631236
41,2023,8,흔한남매 과학 탐험대 7 생물 1,,https://www.yes24.com//Product/Goods/117959679,['흔한남매'],주니어김영사,2023년 03월,"12,600원",27,https://www.yes24.com/Product/Goods/117959679?ReviewYn=Y,9.9,"['#쉽게배우는과학', '#유튜버', '#학습만화', '#재미있는과학']",117959679
42,2023,8,나의 돈 많은 고등학교 친구,슈퍼리치와의 대화에서 찾아낸 부자의 길,https://www.yes24.com//Product/Goods/118468152,['송희구'],서삼독,2023년 04월,"16,200원",107,https://www.yes24.com/Product/Goods/118468152?ReviewYn=Y,9.4,"['#까탈로그에나온책', '#돈모으고싶을때', '#경제적자유', '#돈좀벌어보자']",118468152
43,2023,8,정철의 A.D. 영어학습법,영어를 제2 모국어로 만드는,https://www.yes24.com//Product/Goods/119456818,['정철'],두란노,2023년 06월,"12,600원",42,https://www.yes24.com/Product/Goods/119456818?ReviewYn=Y,9.9,"['#성경교리공부', '#영어명문장']",119456818
44,2023,8,5년 후 나에게 Q&A a day(2023 Sandglass Edition),,https://www.yes24.com//Product/Goods/22793441,['포터 스타일'],토네이도,2022년 11월,"19,800원",502,https://www.yes24.com/Product/Goods/22793441?ReviewYn=Y,9.2,"['#나를사랑하는나에게', '#다이어리북', '#미래의나에게', '#생활습관', '#관계']",22793441
45,2023,8,힘든 일을 먼저 하라 ,자기 인생 자기가 망치는 미루기 중독자를 위한 최후의 처방 ,https://www.yes24.com//Product/Goods/120254212,['스콧 앨런'],갤리온,2023년 07월,"16,200원",49,https://www.yes24.com/Product/Goods/120254212?ReviewYn=Y,9.6,['#크레마클럽에있어요'],120254212
46,2023,8,내 마음의 위험한 녀석 8 한정판,,https://www.yes24.com//Product/Goods/121951734,['사쿠라이 노리오'],소미미디어,2023년 09월,"9,000원",8,https://www.yes24.com/Product/Goods/121951734?ReviewYn=Y,10.0,[],121951734
47,2023,8,그러라 그래,양희은 에세이,https://www.yes24.com//Product/Goods/99181849,['양희은'],김영사,2021년 04월,"13,050원",86,https://www.yes24.com/Product/Goods/99181849?ReviewYn=Y,9.2,"['#뮤지션의에세이', '#문학뉴스레터에소개된책', '#책읽아웃', '#예스티비', '#위로와응원']",99181849
48,2023,8,사과는 이렇게 하는 거야,,https://www.yes24.com//Product/Goods/120813157,['데이비드 라로셀'],블루밍제이,2023년 07월,"15,120원",62,https://www.yes24.com/Product/Goods/120813157?ReviewYn=Y,10.0,[],120813157
49,2023,8,난처한 미술 이야기 내셔널 갤러리 특별판,,https://www.yes24.com//Product/Goods/119984072,['양정무'],사회평론,2023년 07월,"16,200원",23,https://www.yes24.com/Product/Goods/119984072?ReviewYn=Y,9.8,"['#교양을쌓을교양', '#예술여행', '#내손안의미술관']",119984072
50,2023,8,잔잔하게 그러나 단단하게,,https://www.yes24.com//Product/Goods/118922325,['정영욱'],부크럼,2023년 05월,"16,200원",35,https://www.yes24.com/Product/Goods/118922325?ReviewYn=Y,9.6,[],118922325
